ts,symbol,mint,buy_dex,sell_dex,buy_price_usd,sell_price_usd,buy_liquidity_usd,sell_liquidity_usd,gross_spread_pct,total_fee_pct,net_spread_pct,profit_usd_on_20
2026-05-17T17:27:55.826218+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,meteora,6.17e-06,6.18e-06,873790,418234,0.1946,0.5,-0.3054,-0.0611
2026-05-17T17:27:55.826218+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,raydium,6.17e-06,6.17e-06,873790,179840,0.0649,0.55,-0.4851,-0.097
2026-05-17T17:27:55.826218+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,raydium,meteora,6.17e-06,6.18e-06,179840,418234,0.1297,0.45,-0.3203,-0.0641
2026-05-17T17:27:56.361569+00:00,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,raydium,orca,0.1954,0.196,5007254,149491,0.3071,0.55,-0.2429,-0.0486
2026-05-17T17:27:56.906065+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,raydium,meteora,0.05804,0.05888,3534373,100762,1.4473,0.45,0.9973,0.1995
2026-05-17T17:27:57.487256+00:00,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,orca,meteora,2.15,2.16,967322,37396817,0.4651,0.5,-0.0349,-0.007
2026-05-17T17:27:57.487256+00:00,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,raydium,meteora,2.15,2.16,955300,37396817,0.4651,0.45,0.0151,0.003
2026-05-17T17:27:58.049548+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,raydium,orca,0.1906,0.1915,7484970,1425897,0.4722,0.55,-0.0778,-0.0156
2026-05-17T17:27:58.049548+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,raydium,meteora,0.1906,0.1911,7484970,240928,0.2623,0.45,-0.1877,-0.0375
2026-05-17T17:27:58.049548+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,orca,0.1911,0.1915,240928,1425897,0.2093,0.5,-0.2907,-0.0581
2026-05-17T17:28:02.549759+00:00,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,meteora,orca,0.008488,0.008489,4069917,2840419,0.0118,0.5,-0.4882,-0.0976
2026-05-17T17:54:26.130786+00:00,SOL,So11111111111111111111111111111111111111112,orca,raydium,86.19,86.3,28371656,7590198,0.1276,0.55,-0.4224,-0.0845
2026-05-17T17:54:26.130786+00:00,SOL,So11111111111111111111111111111111111111112,meteora,raydium,86.14,86.3,5245490,7590198,0.1857,0.45,-0.2643,-0.0529
2026-05-17T17:54:26.130786+00:00,SOL,So11111111111111111111111111111111111111112,meteora,orca,86.14,86.19,5245490,28371656,0.058,0.5,-0.442,-0.0884
2026-05-17T17:54:26.715374+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,meteora,6.14e-06,6.16e-06,869845,417535,0.4074,0.5,-0.0926,-0.0185
2026-05-17T17:54:26.715374+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,raydium,6.14e-06,6.15e-06,869845,179633,0.2118,0.55,-0.3382,-0.0676
2026-05-17T17:54:26.715374+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,raydium,meteora,6.15e-06,6.16e-06,179633,417535,0.1951,0.45,-0.2549,-0.051
2026-05-17T17:54:27.303362+00:00,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,raydium,orca,0.1951,0.1957,5004298,149401,0.3075,0.55,-0.2425,-0.0485
2026-05-17T17:54:27.983519+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,raydium,meteora,0.05832,0.05888,3545360,100762,0.9602,0.45,0.5102,0.102
2026-05-17T17:54:28.619590+00:00,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,orca,meteora,2.14,2.15,965314,37216825,0.4673,0.5,-0.0327,-0.0065
2026-05-17T17:54:28.619590+00:00,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,orca,raydium,2.14,2.15,965314,954825,0.4673,0.55,-0.0827,-0.0165
2026-05-17T17:54:29.214432+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,raydium,orca,0.1906,0.1914,7484970,1425577,0.4197,0.55,-0.1303,-0.0261
2026-05-17T17:54:29.214432+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,raydium,meteora,0.1906,0.191,7484970,240785,0.2099,0.45,-0.2401,-0.048
2026-05-17T17:54:29.214432+00:00,FARTCOIN,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,meteora,orca,0.191,0.1914,240785,1425577,0.2094,0.5,-0.2906,-0.0581
2026-05-17T17:54:34.501608+00:00,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,orca,meteora,0.008469,0.008488,2833979,4070004,0.2243,0.5,-0.2757,-0.0551
2026-05-17T18:31:04.699427+00:00,SOL,So11111111111111111111111111111111111111112,raydium,orca,85.88,86.25,7571633,28382943,0.4308,0.55,-0.1192,-0.0238
2026-05-17T18:31:04.699427+00:00,SOL,So11111111111111111111111111111111111111112,raydium,meteora,85.88,86.22,7571633,5250452,0.3959,0.45,-0.0541,-0.0108
2026-05-17T18:31:04.699427+00:00,SOL,So11111111111111111111111111111111111111112,meteora,orca,86.22,86.25,5250452,28382943,0.0348,0.5,-0.4652,-0.093
2026-05-17T18:31:05.247540+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,meteora,6.14e-06,6.16e-06,869845,417571,0.4074,0.5,-0.0926,-0.0185
2026-05-17T18:31:05.247540+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,orca,raydium,6.14e-06,6.16e-06,869845,179720,0.3422,0.55,-0.2078,-0.0416
2026-05-17T18:31:05.247540+00:00,BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,raydium,meteora,6.16e-06,6.16e-06,179720,417571,0.065,0.45,-0.385,-0.077
2026-05-17T18:31:05.801601+00:00,WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,raydium,orca,0.1951,0.1956,5005171,149348,0.2563,0.55,-0.2937,-0.0587
2026-05-17T18:31:06.350265+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,raydium,meteora,0.05781,0.05888,3525844,100762,1.8509,0.45,1.4009,0.2802
